0.9394	0.2296	0.2571	
0.8003	0.5236	0.2926	
0.2547	0.8722	0.4183	
0.8767	0.2450	0.4145	
0.2149	0.2099	0.9542	
0.0003	0.0812	0.9968	
0.9814	0.1926	0.0000	
0.8420	0.1168	0.5272	
0.0000	0.7811	0.6248	
0.9768	0.0000	0.2146	
0.1995	0.9800	0.0000	
0.8979	0.4403	0.0000	
0.1150	0.4512	0.8851	
0.9963	0.0886	0.0000	
0.7137	0.7007	0.0000	
0.4984	0.8561	0.1369	
0.7662	0.6271	0.1404	
1.0004	0.0000	0.0000	
0.3835	0.3773	0.8431	
0.9660	0.1056	0.2361	
0.6501	0.2550	0.7161	
0.9952	0.0000	0.0992	
0.0983	0.1926	0.9769	
0.5895	0.8089	0.0000	
0.4146	0.0000	0.9101	
0.5375	0.7902	0.2953	
0.3216	0.9470	0.0000	
0.7865	0.0000	0.6179	
0.0005	0.5379	0.8433	
0.2625	0.7733	0.5775	
0.6406	0.7549	0.1414	
0.8192	0.5739	0.0000	
0.0000	0.0000	1.0023	
0.2616	0.6431	0.7205	
0.0000	0.4147	0.9289	
0.1072	0.3159	0.9434	
0.4062	0.7978	0.4465	
0.9505	0.3110	0.0000	
0.0000	0.6712	0.7518	
0.1978	0.0972	0.9757	
0.3541	0.2308	0.9063	
0.0824	0.0000	0.9967	
0.1205	0.5924	0.7969	
0.4150	0.6773	0.6077	
0.2886	0.0000	0.9576	
0.4591	0.1100	0.8817	
0.8767	0.0000	0.4813	
0.7801	0.2550	0.5716	
0.9391	0.0000	0.3442	
0.3536	0.9265	0.1291	
0.3842	0.8797	0.2813	
0.0900	0.0890	0.9921	
0.1166	0.9159	0.3845	
0.2359	0.3468	0.9079	
0.9311	0.3426	0.1265	
0.6810	0.6685	0.2995	
0.2520	0.4950	0.8317	
0.0001	0.2850	0.9587	
0.6005	0.1179	0.7912	
0.4059	0.5318	0.7438	
0.5619	0.5510	0.6173	
0.0000	0.1756	0.9847	
0.2384	0.9353	0.2620	
0.9704	0.2116	0.1190	
0.0000	0.9368	0.3503	
0.1221	0.7255	0.6777	
0.6869	0.4041	0.6042	
0.4537	0.8913	0.0000	
0.5606	0.6875	0.4620	
0.2193	0.9685	0.1196	
0.6736	0.0000	0.7394	
0.1763	0.0000	0.9847	
0.8647	0.4840	0.1351	
0.9896	0.0986	0.1062	
0.0000	1.0001	0.0000	
0.3210	0.1054	0.9414	
0.0919	0.9959	0.0000	
0.5037	0.2467	0.8298	
0.1009	0.9896	0.1094	
0.5449	0.0000	0.8387	
0.8056	0.3951	0.4429	
0.9186	0.1115	0.3793	
0.5404	0.3968	0.7421	
0.7328	0.1184	0.6705	
0.0004	0.9949	0.1013	
0.0000	0.9773	0.2187	
0.1215	0.8360	0.5355	
0.0000	0.8726	0.4887	
0.6989	0.5479	0.4606	
0.8883	0.3678	0.2753	
0.1090	0.9655	0.2369	
0.5994	0.1177	0.7921	
